dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,dnn,ewckd,5,0.3698,-0.7359,0.2251,0.6142,0.3333333333333333,0.25908567432844887,0.16730980555923639,0.3333333333333333,0.11391147244805781,0.09255523075013358,0.333,0.25821185246287226,0.1,0.333,0.2584835387088355,0.1,0.333,0.258340606140787,0.333,0.25831614369630074,20,0.1,6.0,1000.0,ok
TONIoT,1,dnn,ewckd,9,0.5456,-0.4254,0.5639,0.4094,0.16233333333333333,0.12441420437852804,0.05640440653706145,0.18609652993914622,0.11898224418817499,0.10806749780182742,0.138,0.089544450602416,16.427104722792606,0.13633333333333333,0.08749910477602996,17.453798767967147,0.13766666666666666,0.08909714158541826,0.13633333333333333,0.08703753641625567,20,0.1,6.0,1000.0,ok
CICIoT,1,dnn,ewckd,8,0.4373,-0.4725,0.4605,0.4860,0.11966666666666667,0.08787968214266746,0.047300663374662995,0.14243186582809222,0.03909556694141234,0.04302242522398887,0.1,0.07718423224578519,19.498607242339833,0.09933333333333333,0.07527692479644453,20.334261838440113,0.09966666666666667,0.0767903776763084,0.10033333333333333,0.0795081574808145,20,0.1,6.0,1000.0,ok
CICIoMT,7,dnn,ewckd,5,0.3698,-0.7369,0.2249,0.6145,0.3333333333333333,0.2685265535622202,0.17405277001502423,0.3333333333333333,0.11400180668473352,0.09432355013969965,0.3333333333333333,0.2686332400116305,0.0,0.3333333333333333,0.26769602740672377,0.0,0.3333333333333333,0.2689571768199595,0.3333333333333333,0.2711473887112788,20,0.1,6.0,1000.0,ok
TONIoT,7,dnn,ewckd,9,0.5454,-0.4260,0.5636,0.4098,0.16,0.13974240236819513,0.0665089786803389,0.1848086124401914,0.11733479773018488,0.13431224135574912,0.152,0.1300222942459229,6.25,0.152,0.13231729288742775,6.25,0.152,0.12816915945799054,0.152,0.13231729288742775,20,0.1,6.0,1000.0,ok
CICIoT,7,dnn,ewckd,8,0.4356,-0.4975,0.4476,0.4998,0.11633333333333333,0.09833725377496434,0.051971126181596126,0.14642143240212568,0.03909556694141234,0.05397169082429397,0.09566666666666666,0.09009493037330868,20.630372492836678,0.09633333333333334,0.0915230271910896,20.34383954154728,0.09666666666666666,0.09191351405152982,0.09833333333333333,0.09659984442142963,20,0.1,6.0,1000.0,ok
CICIoMT,13,dnn,ewckd,5,0.3824,-0.7193,0.2412,0.6007,0.345,0.2813079650621203,0.1957607174203321,0.34500000000000003,0.13495934959349593,0.1171824878672756,0.3426666666666667,0.2715851523412986,1.0628019323671498,0.3426666666666667,0.2716843050904682,1.1594202898550725,0.3416666666666667,0.2732376331804233,0.345,0.28007765066677914,20,0.1,6.0,1000.0,ok
TONIoT,13,dnn,ewckd,9,0.5439,-0.4270,0.5622,0.4110,0.16133333333333333,0.12367266546782628,0.0556034496034496,0.18639893324966664,0.11879919458173165,0.10768576960557077,0.14266666666666666,0.09694870943212033,12.603305785123966,0.142,0.09578988831268584,13.016528925619836,0.13966666666666666,0.09258980852854083,0.144,0.09923308651265816,20,0.1,6.0,1000.0,ok
CICIoT,13,dnn,ewckd,8,0.4314,-0.4299,0.4878,0.4658,0.117,0.08463699572974777,0.0453685271171374,0.14969278451416454,0.0398752506126086,0.042166165917701066,0.09,0.06576633157782986,26.495726495726498,0.09033333333333333,0.06567588483781642,26.21082621082621,0.09,0.060934157870046336,0.09233333333333334,0.0687129178478349,20,0.1,6.0,1000.0,ok
CICIoMT,21,dnn,ewckd,5,0.3820,-0.7212,0.2404,0.6016,0.3473333333333333,0.27792380763896685,0.20582165556403428,0.3473333333333333,0.13252032520325202,0.10289598181286207,0.33566666666666667,0.2641250207135586,3.5508637236084453,0.335,0.26305157823666503,3.742802303262956,0.3343333333333333,0.2615016065861783,0.3343333333333333,0.2623978610157864,20,0.1,6.0,1000.0,ok
