dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer_cl,ewc,5,0.4289,0.2113,0.3117,-0.6508,0.333,0.29861543318361244,0.19435404232726386,0.333,0.28437217705510387,0.18028498071481242,0.33266666666666667,0.29815201480690373,0.10010010010010009,0.33266666666666667,0.29788235698890647,0.10010010010010009,0.33266666666666667,0.29146872600231954,0.3323333333333333,0.2870694221335364,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,ewc,9,0.5450,0.0000,1.0000,0.0000,0.103,0.0,0.019236627379873077,0.1,0.10982976386600769,0.0,0.103,0.0,0.0,0.103,0.0,0.0,0.103,0.0,0.103,0.0,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,ewc,8,0.1144,0.0000,0.1429,0.0000,0.21,0.0,0.07289256198347108,0.1111111111111111,0.4252617509467587,0.0,0.21,0.0,0.0,0.21,0.0,0.0,0.21,0.0,0.21,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,ewc,5,0.1600,0.0000,0.2500,0.0000,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.22827461607949412,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,ewc,9,0.5450,0.0000,1.0000,0.0000,0.10133333333333333,0.0,0.01864729620661824,0.1,0.10982976386600769,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.10133333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,ewc,8,0.1144,0.0000,0.1429,0.0000,0.20666666666666667,0.0,0.07079189686924493,0.1111111111111111,0.4252617509467587,0.0,0.20666666666666667,0.0,0.0,0.20666666666666667,0.0,0.0,0.20666666666666667,0.0,0.20666666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,ewc,5,0.2696,0.0000,1.0000,0.0000,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.057091237579042456,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,ewc,9,0.5450,0.0000,1.0000,0.0000,0.10166666666666667,0.0,0.018764498234997477,0.1,0.10982976386600769,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.10166666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,ewc,8,0.1144,0.0000,0.1429,0.0000,0.21666666666666667,0.0,0.07716894977168949,0.1111111111111111,0.4252617509467587,0.0,0.21666666666666667,0.0,0.0,0.21666666666666667,0.0,0.0,0.21666666666666667,0.0,0.21666666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,ewc,5,0.2698,0.0001,1.0005,-0.0003,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,ewc,9,0.0556,0.0000,0.1250,0.0000,0.105,0.0,0.01995475113122172,0.1,0.10982976386600769,0.0,0.105,0.0,0.0,0.105,0.0,0.0,0.105,0.0,0.105,0.0,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,ewc,8,0.1144,0.0000,0.1429,0.0000,0.22166666666666668,0.0,0.08044110959527058,0.1111111111111111,0.4252617509467587,0.0,0.22166666666666668,0.0,0.0,0.22166666666666668,0.0,0.0,0.22166666666666668,0.0,0.22166666666666668,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,ewc,5,0.1600,0.0000,0.2500,0.0000,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.22818428184281841,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,ewc,9,0.0556,0.0000,0.1250,0.0000,0.103,0.0,0.019236627379873077,0.1,0.10982976386600769,0.0,0.103,0.0,0.0,0.103,0.0,0.0,0.103,0.0,0.103,0.0,20,0.1,6.0,1000.0,ok
