dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer_cl,ewckd,5,0.3697,-0.4354,0.4674,0.4851,0.333,0.2724747396073905,0.1816133684001788,0.333,0.11364046973803071,0.09775025635204213,0.248,0.1195720768515723,25.525525525525527,0.24,0.10778257146732383,27.927927927927925,0.244,0.11599673763763027,0.29,0.1856242833121188,20,0.1,0.0,1000.0,ok
TONIoT,1,transformer_cl,ewckd,9,0.5462,-0.4171,0.5486,0.4043,0.14666666666666667,0.08729690750774273,0.04362962021630065,0.16283427014137283,0.11651107450118982,0.07187475063115836,0.12,0.04378955669540679,19.545454545454547,0.11533333333333333,0.03551683097905998,22.272727272727273,0.11633333333333333,0.037652275160570486,0.13166666666666665,0.06288539382579242,20,0.1,0.0,1000.0,ok
CICIoT,1,transformer_cl,ewckd,8,0.4274,-0.2964,0.6413,0.3777,0.117,0.09257887811455337,0.04998674887789925,0.14700808625336925,0.03931833370461127,0.049911145516942576,0.08566666666666667,0.03756481825701129,29.059829059829063,0.08766666666666667,0.04150674880879221,28.205128205128204,0.08666666666666667,0.0433374629444601,0.09066666666666667,0.06600353856448621,20,0.1,0.0,1000.0,ok
CICIoMT,7,transformer_cl,ewckd,5,0.3698,-0.4402,0.4683,0.4878,0.3333333333333333,0.32563283378395125,0.210663535363877,0.3333333333333333,0.11400180668473352,0.14761899827582814,0.30833333333333335,0.23466466773712283,7.5,0.2836666666666667,0.19696367024450195,14.899999999999999,0.313,0.25511645529058796,0.2713333333333333,0.2051631095834948,20,0.1,0.0,1000.0,ok
TONIoT,7,transformer_cl,ewckd,9,0.5445,-0.3667,0.6012,0.3745,0.13433333333333333,0.06363618924902945,0.044006286087382086,0.14750313466361023,0.11550430166575142,0.06213574554961818,0.10333333333333333,0.016271415776180263,24.317617866004962,0.10266666666666667,0.014447031657424288,24.56575682382134,0.1,0.006644330721257668,0.12733333333333333,0.052452822700757594,20,0.1,0.0,1000.0,ok
CICIoT,7,transformer_cl,ewckd,8,0.4272,-0.3201,0.6159,0.3960,0.11533333333333333,0.08171460974982953,0.04415151630705204,0.14545244015406367,0.03876141679661395,0.038088891344939646,0.081,0.025605450809565916,32.947976878612714,0.08333333333333333,0.028317285714996154,32.080924855491325,0.08333333333333333,0.030324874719790056,0.087,0.05156107654613856,20,0.1,0.0,1000.0,ok
CICIoMT,13,transformer_cl,ewckd,5,0.3694,-0.4679,0.4475,0.5033,0.3333333333333333,0.25785313993835596,0.18286419225887574,0.3333333333333333,0.11418247515808491,0.07640704002495412,0.2836666666666667,0.18088310362256618,14.899999999999999,0.26766666666666666,0.15603179858771418,19.7,0.2733333333333333,0.16468291833224386,0.31033333333333335,0.21702961646440017,20,0.1,0.0,1000.0,ok
TONIoT,13,transformer_cl,ewckd,9,0.5459,-0.3949,0.5708,0.3914,0.14033333333333334,0.07875004319765186,0.04132880282181456,0.15595419248568515,0.11605345048508146,0.06983502057030018,0.10966666666666666,0.02648445466618435,22.802850356294538,0.10266666666666667,0.01232667753189551,28.028503562945367,0.10033333333333333,0.00640221847133193,0.13466666666666666,0.06947155002010703,20,0.1,0.0,1000.0,ok
CICIoT,13,transformer_cl,ewckd,8,0.4394,-0.2957,0.6425,0.3707,0.118,0.09206506273347874,0.04886858573216521,0.14710093705254382,0.03909556694141234,0.04858227451863626,0.09766666666666667,0.05486893708886644,18.926553672316384,0.09733333333333333,0.05484194184783145,19.491525423728813,0.09733333333333333,0.05647568463612518,0.09866666666666667,0.07204470899343454,20,0.1,0.0,1000.0,ok
CICIoMT,21,transformer_cl,ewckd,5,0.3767,-0.4469,0.4664,0.4869,0.3413333333333333,0.27892102754407055,0.21931262333810647,0.3413333333333333,0.12068654019873531,0.09107260416772167,0.3253333333333333,0.244757791412023,4.78515625,0.327,0.2529167113112122,4.296875,0.30566666666666664,0.2118666954958456,0.331,0.2620362283651247,20,0.1,0.0,1000.0,ok
TONIoT,21,transformer_cl,ewckd,9,0.5509,-0.3001,0.6569,0.3262,0.151,0.08824112922746827,0.05427891945476733,0.16380604430041118,0.12090426505583013,0.0638160140132233,0.11766666666666667,0.0378419548696177,23.178807947019866,0.11233333333333333,0.028117265850581632,26.71081677704194,0.113,0.028664529326618535,0.13066666666666665,0.05898915979170077,20,0.1,0.0,1000.0,ok
CICIoT,21,transformer_cl,ewckd,8,0.4352,-0.3230,0.6034,0.3937,0.117,0.029808510409092787,0.02720515095037134,0.14258786000398746,0.03831588327021608,0.007688254686624258,0.103,0.0038848321582929334,14.529914529914532,0.10133333333333333,0.0010598220059045373,15.954415954415953,0.10533333333333333,0.009826872667976223,0.10166666666666667,0.00800548920384566,20,0.1,0.0,1000.0,ok
CICIoMT,42,transformer_cl,ewckd,5,0.3697,-0.4272,0.4863,0.4804,0.3333333333333333,0.29867526654255877,0.19427940409066943,0.3333333333333333,0.11391147244805781,0.11320020659989587,0.3253333333333333,0.26845204709508774,2.4,0.3253333333333333,0.2675215755746939,2.4,0.32766666666666666,0.28134352429827414,0.332,0.2952342597839158,20,0.1,0.0,1000.0,ok
TONIoT,42,transformer_cl,ewckd,9,0.5495,-0.3750,0.5990,0.3776,0.13733333333333334,0.06651768245725305,0.04452898731952018,0.1462413609782031,0.11632802489474647,0.06158252125514567,0.106,0.016763812657314338,23.300970873786408,0.10133333333333333,0.0042440803040224495,26.699029126213592,0.10033333333333333,-0.0015537907672367255,0.127,0.05293464099048102,20,0.1,0.0,1000.0,ok
CICIoT,42,transformer_cl,ewckd,8,0.4295,-0.2971,0.6349,0.3771,0.11566666666666667,0.09892925847089458,0.05040254301568072,0.16148741829155921,0.03865003341501448,0.05540063294391492,0.09233333333333334,0.06964861657354632,22.19020172910663,0.092,0.06779724116483773,24.207492795389047,0.09433333333333334,0.07186459680634687,0.096,0.07697113978334792,20,0.1,0.0,1000.0,ok
