dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer_cl,bic,5,0.7813,-0.2169,0.7455,0.1817,0.769,0.7491048678565873,0.7144495588428851,0.769,0.6949412827461608,0.6651769694031119,0.5966666666666667,0.5443032321920385,23.840485478977026,0.5923333333333334,0.5392830576605947,24.403987863025574,0.5926666666666667,0.5407328888453526,0.612,0.565533444780927,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,bic,9,0.8382,-0.0657,0.9731,0.0651,0.7886666666666666,0.7737139077283637,0.7713879156523367,0.7932902950023328,0.7758557569101227,0.7587780661127931,0.659,0.6338006570406308,16.56804733727811,0.653,0.6266829749601199,17.24429416737109,0.6553333333333333,0.6292528018421747,0.6866666666666666,0.6638252519381412,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,bic,8,0.1145,-0.5259,0.1072,0.8007,0.175,0.1337477559421341,0.06363949468493842,0.22130394857667585,0.125417687680998,0.07196430941383965,0.17533333333333334,0.13484573964445612,0.0,0.17533333333333334,0.13484573964445612,0.0,0.17533333333333334,0.13484573964445612,0.17533333333333334,0.1347962950340805,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,bic,5,0.7695,-0.2305,0.7322,0.1933,0.7553333333333333,0.7323563255130047,0.7027335557060654,0.7553333333333333,0.6776874435411021,0.64475597828089,0.606,0.5458045155591994,23.036187113857018,0.5696666666666667,0.5027658708515301,28.155339805825243,0.6786666666666666,0.6365355571804643,0.593,0.5299483899662942,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,bic,9,0.8495,-0.0550,0.9846,0.0544,0.8146666666666667,0.798652323703904,0.807080914151415,0.8174723280342248,0.8136555006406736,0.7967668206324072,0.6536666666666666,0.6238954024587885,19.844517184942717,0.6436666666666667,0.6131916773767203,21.031096563011456,0.648,0.6175111130555427,0.694,0.6690221936509798,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,bic,8,0.3079,-0.3140,0.5127,0.4716,0.4856666666666667,0.46280378014704027,0.5012559479995756,0.4445567925436332,0.5700601470260637,0.510531158195056,0.3893333333333333,0.34191640590231265,21.894303363074812,0.38566666666666666,0.33595111175260267,22.855181880576527,0.39066666666666666,0.34141720988328156,0.44733333333333336,0.4136279621443783,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,bic,5,0.7795,-0.0507,0.9487,0.0494,0.7593333333333333,0.7362441922951841,0.7043311272846557,0.7593333333333333,0.7057813911472448,0.6748733501539356,0.6176666666666667,0.5682313118617118,20.939420544337136,0.6056666666666667,0.5537180172939036,22.431957857769973,0.6083333333333333,0.5567963351533854,0.575,0.5190759515050517,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,bic,9,0.8535,-0.0485,0.9888,0.0481,0.812,0.7953327654606971,0.8026589992410107,0.8176186900546891,0.8019403258282994,0.7828927900868126,0.6763333333333333,0.6484465606966765,16.789819376026273,0.674,0.6460679580532481,17.077175697865353,0.6793333333333333,0.6511674340442157,0.6826666666666666,0.6557101126983063,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,bic,8,0.1037,-0.5517,0.1068,0.8232,0.152,0.11674404761802952,0.058453422720368714,0.2222222222222222,0.12107373579861884,0.06686859613370419,0.152,0.11674404761802952,0.0,0.152,0.11674404761802952,0.0,0.152,0.11674404761802952,0.152,0.11674404761802952,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,bic,5,0.2430,-0.3115,0.4468,0.5063,0.2663333333333333,0.1575683454206465,0.1413508915512625,0.2663333333333333,0.3140921409214092,0.20044363535362272,0.264,0.15391935521614,2.002503128911139,0.2623333333333333,0.15119932979539008,2.753441802252816,0.26366666666666666,0.1532643180672848,0.26766666666666666,0.15940860197059245,20,0.1,6.0,1000.0,ok
