dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer_cl,bic,5,0.8759,-0.0973,0.8989,0.0816,0.8603333333333333,0.8356512140179432,0.8596077445446874,0.8603333333333333,0.8284552845528456,0.7921185712051515,0.477,0.3767429070221453,45.951181712514526,0.4663333333333333,0.36414671751346406,47.19101123595505,0.4806666666666667,0.38161746780646627,0.502,0.4091090332177468,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,bic,9,0.8516,-0.0532,0.9807,0.0526,0.814,0.7981272987862484,0.8007250167490648,0.8173879572483287,0.8014827018121911,0.7829499687325449,0.6633333333333333,0.6338337553332993,18.55036855036855,0.648,0.6178014181077982,20.434070434070435,0.637,0.6051379923686228,0.6683333333333333,0.640972149052766,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,bic,8,0.2125,-0.4147,0.2190,0.6307,0.32066666666666666,0.3194553883472256,0.22607038559262985,0.3306402898497235,0.2804633548674538,0.26771414869977206,0.31266666666666665,0.3132446552190587,2.494802494802495,0.31333333333333335,0.3130474225872248,2.2869022869022873,0.31033333333333335,0.30890930780871284,0.31866666666666665,0.31710286978925395,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,bic,5,0.8584,-0.1180,0.8695,0.0991,0.8483333333333334,0.8255134540097083,0.8447217258875149,0.8483333333333333,0.8049683830171636,0.7696022218001258,0.5176666666666667,0.42821645760193655,39.84282907662082,0.5043333333333333,0.41255576616870937,41.33595284872298,0.5156666666666667,0.4261193323962817,0.5596666666666666,0.481069100786948,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,bic,9,0.8420,-0.0637,0.9752,0.0630,0.7996666666666666,0.7820135712772821,0.7919587662542099,0.803291754200278,0.7947098663737873,0.7755888166210712,0.7203333333333334,0.6967203995200708,10.087536473530639,0.715,0.6904148630390132,10.879533138807837,0.7066666666666667,0.6808520009440413,0.751,0.7302751538197136,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,bic,8,0.3032,-0.3126,0.4306,0.4742,0.4856666666666667,0.4622453369226924,0.48180670364351985,0.45584579896857247,0.5571396747605257,0.4931173075460726,0.383,0.3339591950919729,23.74742621825669,0.38266666666666665,0.33308717863528636,24.227865477007548,0.3993333333333333,0.3531909534036413,0.448,0.41571513609559935,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,bic,5,0.7788,-0.0687,0.9302,0.0659,0.7696666666666667,0.7507042702368594,0.7152719065418188,0.7696666666666667,0.6894308943089431,0.6591236064017262,0.6643333333333333,0.6228074796788444,14.98484192291035,0.6526666666666666,0.6103524157050174,17.020355132091815,0.6493333333333333,0.6048922923010964,0.6046666666666667,0.5539303629812155,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,bic,9,0.8500,-0.0564,0.9816,0.0557,0.8123333333333334,0.7972742221408391,0.7992545556456998,0.8182881562917096,0.7974556104704374,0.779598864446399,0.6723333333333333,0.6460402297607393,17.439474764054165,0.6546666666666666,0.627078800487049,19.4911776774723,0.6386666666666667,0.6093627999782614,0.6533333333333333,0.6264219581315631,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,bic,8,0.1037,-0.5517,0.1071,0.8232,0.152,0.11674404761802952,0.058453422720368714,0.2222222222222222,0.12073958565382045,0.06641381849853546,0.152,0.1168040694538072,0.0,0.152,0.1168040694538072,0.0,0.147,0.11001528854347643,0.14933333333333335,0.11315418521180783,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,bic,5,0.6726,-0.0923,0.8848,0.0989,0.6476666666666666,0.6074049729125179,0.587529598278877,0.6476666666666667,0.5534778681120145,0.5035226324914576,0.389,0.2771933465323568,43.180648481729285,0.385,0.27238153230653733,43.74678332475553,0.39766666666666667,0.2875123096281669,0.4523333333333333,0.35894452290235035,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,bic,9,0.8532,-0.0493,0.9894,0.0488,0.8003333333333333,0.7818775693303354,0.7940486910035036,0.7979392571206916,0.8029470986637379,0.7845169614042348,0.6346666666666667,0.607807971684368,20.99125364431487,0.624,0.5956126823005022,22.032486463973346,0.6333333333333333,0.6064883656938272,0.665,0.639269517039488,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,bic,8,0.1149,-0.5272,0.1070,0.8006,0.17266666666666666,0.1319588587463131,0.0614612834089558,0.2222222222222222,0.12552907106259745,0.07240418853282465,0.17266666666666666,0.13200584556043016,0.0,0.17266666666666666,0.13200584556043016,0.0,0.17266666666666666,0.1319588587463131,0.17266666666666666,0.13200584556043016,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,bic,5,0.8412,-0.1427,0.8417,0.1195,0.8253333333333334,0.8006496565087909,0.8171306110738987,0.8253333333333334,0.774074074074074,0.7357480263331967,0.573,0.49421177489458884,32.10823909531502,0.569,0.4896861335840863,32.75444264943457,0.5866666666666667,0.5107548276507903,0.5336666666666666,0.45000054291837,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,bic,9,0.8645,-0.0267,1.0198,0.0267,0.833,0.8184827410688345,0.8277465081447745,0.8348369919818477,0.8234486545853926,0.8076810280117989,0.6473333333333333,0.618855746019633,22.368947579031612,0.6313333333333333,0.6016774365202715,24.289715886354543,0.635,0.6056114217552818,0.6653333333333333,0.6384127289072733,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,bic,8,0.1146,-0.5267,0.1070,0.8009,0.17333333333333334,0.1325231148277884,0.06249658876361521,0.22166805209199225,0.12530630429939854,0.0720872004707294,0.17333333333333334,0.13266840597450094,0.0,0.17333333333333334,0.13266840597450094,0.0,0.17333333333333334,0.13266840597450094,0.17333333333333334,0.13266840597450094,20,0.1,6.0,1000.0,ok
