dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer_cl,robustcat,5,0.7774,0.0094,1.0278,-0.0098,0.7466666666666667,0.7178570704783278,0.6992142990759012,0.7466666666666667,0.7151761517615176,0.6804027255503732,0.568,0.5069033357390407,25.089285714285715,0.5546666666666666,0.4918569405670007,26.875,0.5596666666666666,0.49837880047668565,0.5816666666666667,0.5267396567387869,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,robustcat,9,0.8910,0.0970,1.1816,-0.1071,0.7973333333333333,0.7776206039349084,0.7969966085505693,0.7873805834999043,0.8110928061504667,0.7906354929987831,0.696,0.6653968283282274,12.918060200668895,0.6953333333333334,0.6646699887198542,13.001672240802675,0.694,0.6631463230102292,0.7046666666666667,0.6753363188969143,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,robustcat,8,0.7419,-0.0028,1.1599,0.0033,0.594,0.5645174294060078,0.56294098010696,0.45550873187016605,0.6129427489418579,0.5638555544259515,0.5703333333333334,0.5212622951902975,7.07070707070707,0.5703333333333334,0.5209111131678319,7.12682379349046,0.5713333333333334,0.5232917744379598,0.5833333333333334,0.535985158500868,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,robustcat,5,0.7655,-0.1814,0.7937,0.1594,0.7276666666666667,0.6803258607192437,0.710816237263419,0.7276666666666666,0.7065943992773261,0.636740215920563,0.5536666666666666,0.48262588032455805,25.011452130096195,0.5523333333333333,0.4812155329099795,25.194686211635364,0.569,0.49843581405150444,0.553,0.48140656050173725,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,robustcat,9,0.8864,0.0774,1.1453,-0.0842,0.7913333333333333,0.7727876756603391,0.7799460844804683,0.788474964813609,0.8002013545670876,0.7813032116239964,0.7026666666666667,0.6757555045561093,11.457455770850885,0.702,0.6751059207304412,11.541701769165964,0.7003333333333334,0.6735113145940692,0.702,0.6750339949831282,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,robustcat,8,0.6718,0.0304,1.3444,-0.0413,0.4603333333333333,0.4408867230082349,0.37900801685418173,0.3845862729255205,0.42303408331476944,0.3833605098207711,0.45066666666666666,0.4272442349858755,2.3171614771904414,0.45,0.4264108114329533,2.389572773352643,0.45,0.42599753556184317,0.45466666666666666,0.43362119078433004,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,robustcat,5,0.8566,0.0629,1.5333,-0.0624,0.8413333333333334,0.8128462708055704,0.8387625471896615,0.8413333333333334,0.8188798554652214,0.7773662227711635,0.5263333333333333,0.4440589298510156,38.86687797147385,0.5196666666666667,0.43609293014702816,39.77812995245642,0.54,0.45969701766446897,0.5253333333333333,0.4432298540428009,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,robustcat,9,0.8983,0.1106,1.2175,-0.1229,0.809,0.7885412700083295,0.8083034692904238,0.8034046061080955,0.8206113856855207,0.8003122791378815,0.7566666666666667,0.7310576090056671,6.757313555830242,0.7553333333333333,0.729539879670123,6.9221260815822,0.756,0.7302533729932646,0.763,0.7382504062412498,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,robustcat,8,0.5476,-0.0046,1.4418,0.0073,0.26033333333333336,0.1987025566455101,0.10866307509846043,0.2219667943805875,0.1967030519046558,0.13367666613060378,0.26066666666666666,0.19916310603056273,0.0,0.26066666666666666,0.19916310603056273,0.0,0.26066666666666666,0.19916310603056273,0.26066666666666666,0.19916310603056273,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,robustcat,5,0.7760,-0.0309,0.9691,0.0309,0.7456666666666667,0.7193872685978854,0.6897649652082334,0.7456666666666667,0.7098464317976513,0.6789277084827201,0.6116666666666667,0.5641087348073394,18.59633437639696,0.6043333333333333,0.5559610322726228,19.669199821189093,0.5903333333333334,0.5410945172332611,0.6026666666666667,0.5597027073942252,20,0.1,6.0,1000.0,ok
