dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,dnn,cat,5,0.8579,-0.0536,0.9447,0.0476,0.816,0.7825123426405611,0.808321880320603,0.8160000000000002,0.8472448057813912,0.8069938815876972,0.473,0.37802144977785374,43.13725490196079,0.463,0.3666401288007905,44.3218954248366,0.479,0.3860598730698996,0.4686666666666667,0.3743522005036111,20,0.1,6.0,1000.0,ok
TONIoT,1,dnn,cat,9,0.9105,0.0872,1.1766,-0.0930,0.8396666666666667,0.8227189047485807,0.8392626413146365,0.8355940440963993,0.846329855390811,0.8290748354879544,0.653,0.6176724486094356,22.58832870186582,0.6433333333333333,0.6071602508480526,23.69988090512108,0.661,0.6264145080234699,0.6716666666666666,0.6379238394562312,20,0.1,6.0,1000.0,ok
CICIoMT,7,dnn,cat,5,0.8602,-0.0556,0.9464,0.0491,0.8216666666666667,0.7893577016751969,0.8137433132785918,0.8216666666666668,0.8420054200542005,0.7998501879358405,0.4846666666666667,0.39310909744488204,42.02839756592292,0.4673333333333333,0.37259363827805514,43.81338742393509,0.466,0.3706258511121783,0.46266666666666667,0.36679389913578847,20,0.1,6.0,1000.0,ok
TONIoT,7,dnn,cat,9,0.8984,0.1045,1.2081,-0.1153,0.82,0.8011590697608691,0.8191360265089699,0.8187216343931641,0.8228079809628409,0.8037142050768994,0.666,0.6325932778853972,19.1869918699187,0.668,0.6349912796775362,18.86178861788618,0.666,0.6325425908827228,0.673,0.6401727234785541,20,0.1,6.0,1000.0,ok
CICIoMT,13,dnn,cat,5,0.8776,0.1311,1.7879,-0.1357,0.8666666666666667,0.8403855452754361,0.8660749751630868,0.8666666666666667,0.8419150858175248,0.802230730158375,0.5403333333333333,0.4566378336969479,41.88461538461539,0.5286666666666666,0.44195726158651116,43.230769230769226,0.5496666666666666,0.46635843922762443,0.5263333333333333,0.4410258974425075,20,0.1,6.0,1000.0,ok
TONIoT,13,dnn,cat,,,,,,,,,,,,,,,,,,,,,,20,0.1,6.0,1000.0,error: AcceleratorError
CICIoMT,1,lstm,cat,5,0.8639,0.1242,1.8051,-0.1300,0.83,0.7982254684593855,0.8279734691589962,0.83,0.849412827461608,0.8118698595401926,0.4736666666666667,0.3837496668841143,44.859437751004016,0.4633333333333333,0.37077792462678233,46.024096385542165,0.4693333333333333,0.3782029108358483,0.48,0.3899853197741466,20,0.1,6.0,1000.0,ok
TONIoT,1,lstm,cat,9,0.9032,0.0817,1.1693,-0.0874,0.8233333333333334,0.8045385745014987,0.8228244287744162,0.8176435309273995,0.8335163829397767,0.8145195949159625,0.6413333333333333,0.6078057416409474,22.34817813765182,0.6266666666666667,0.5900902413821708,24.089068825910932,0.6246666666666667,0.588349881775273,0.6643333333333333,0.6316849615108201,20,0.1,6.0,1000.0,ok
CICIoMT,7,lstm,cat,5,0.8104,0.0746,1.6036,-0.0796,0.7763333333333333,0.733969851114641,0.7699612697364029,0.7763333333333334,0.7705510388437218,0.709741763804546,0.5326666666666666,0.44855488649444,33.4907685702018,0.5283333333333333,0.4434763363600487,33.96307428080721,0.5366666666666666,0.4532308323868798,0.586,0.5122298165580745,20,0.1,6.0,1000.0,ok
TONIoT,7,lstm,cat,9,0.8783,0.1172,1.2341,-0.1345,0.7773333333333333,0.7584706854668142,0.7550791254318906,0.7786680771713329,0.7781438769906645,0.758343566197541,0.625,0.5909114231675904,20.454545454545457,0.6126666666666667,0.5777638095185297,21.483704974271014,0.5956666666666667,0.5587313429181173,0.663,0.6326137498679052,20,0.1,6.0,1000.0,ok
