dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,1,transformer,noCL,5,0.3693,-0.7870,0.2121,0.6303,0.3333333333333333,0.3046304823175905,0.1980364291972237,0.3333333333333333,0.11382113821138211,0.11903770306328337,0.33166666666666667,0.2921109006631142,0.5,0.33166666666666667,0.29077638331066025,0.5,0.33166666666666667,0.2952923307764659,0.3313333333333333,0.2952236631184035,20,0.1,0.0,1000.0,ok
TONIoT,1,transformer,noCL,9,0.5321,-0.5014,0.4888,0.4558,0.16733333333333333,0.13547431790135966,0.05891895064521879,0.19404778495223055,0.11687717371407652,0.10965284301446976,0.11666666666666667,0.06077984525681076,31.07569721115538,0.116,0.05980325568116652,31.47410358565737,0.116,0.057089363675794404,0.12,0.06655262159774948,20,0.1,0.0,1000.0,ok
CICIoT,1,transformer,noCL,8,0.4101,-0.5502,0.4087,0.5400,0.117,0.09944155294463776,0.05159512620221991,0.17013477088948786,0.03775896636221876,0.047709322122604404,0.092,0.07574001875901104,25.071225071225072,0.091,0.07708815769435425,26.21082621082621,0.09233333333333334,0.07654021217054542,0.10033333333333333,0.08646644453255647,20,0.1,0.0,1000.0,ok
CICIoMT,7,transformer,noCL,5,0.3695,-0.7873,0.2122,0.6302,0.3333333333333333,0.2977692502198947,0.19579941965562883,0.3333333333333333,0.11400180668473352,0.11523033374067428,0.328,0.2885444790803617,1.6,0.3273333333333333,0.28703301504539447,1.7999999999999998,0.32766666666666666,0.28109351692252665,0.33,0.2812337832990734,20,0.1,0.0,1000.0,ok
TONIoT,7,transformer,noCL,9,0.5424,-0.4971,0.4956,0.4489,0.16666666666666666,0.15667260726589585,0.07060747926763809,0.19467703349282298,0.11706022332051987,0.14000949718664246,0.124,0.08695977872864384,25.8,0.12466666666666666,0.09066094647805661,25.4,0.10766666666666666,0.06185990003432294,0.122,0.08836895717204515,20,0.1,0.0,1000.0,ok
CICIoT,7,transformer,noCL,8,0.4137,-0.4282,0.5125,0.4752,0.114,0.07217687353732742,0.03935909034729947,0.16012139827409683,0.03842726665181555,0.028537031293683974,0.093,0.06106480609679153,22.514619883040936,0.092,0.06313784894577887,23.976608187134502,0.092,0.06243157878951737,0.09266666666666666,0.05485782936749549,20,0.1,0.0,1000.0,ok
CICIoMT,13,transformer,noCL,5,0.4131,-0.6073,0.3918,0.5405,0.3333333333333333,0.30213833706844817,0.1964737481110277,0.3333333333333333,0.202710027100271,0.15135505980883757,0.33266666666666667,0.2957761500895429,0.2,0.333,0.2952218284263389,0.1,0.333,0.2958563600565974,0.33266666666666667,0.29425425032741404,20,0.1,0.0,1000.0,ok
TONIoT,13,transformer,noCL,9,0.5369,-0.4973,0.4930,0.4516,0.168,0.12252820240851535,0.05021203473716,0.19626951133422227,0.11852462017206664,0.08151315732569481,0.12566666666666668,0.06264753053072848,25.595238095238095,0.125,0.061729619083740396,25.793650793650798,0.125,0.0608108353585978,0.127,0.06446261661795051,20,0.1,0.0,1000.0,ok
CICIoT,13,transformer,noCL,8,0.4067,-0.5465,0.4083,0.5404,0.11366666666666667,0.09911553736922506,0.05146931812977973,0.17135797098822492,0.03865003341501448,0.05260717208897509,0.08966666666666667,0.07189093933933978,27.27272727272727,0.08966666666666667,0.0732326258161074,27.56598240469208,0.09033333333333333,0.07347819729512574,0.09333333333333334,0.07907216992455084,20,0.1,0.0,1000.0,ok
CICIoMT,21,transformer,noCL,5,0.4132,-0.6071,0.3919,0.5403,0.333,0.3113649899300705,0.20228260442405777,0.333,0.2026196928635953,0.15718950116488772,0.31166666666666665,0.2763995669256126,6.406406406406406,0.2906666666666667,0.24600084736259878,12.712712712712712,0.2976666666666667,0.25644578953745867,0.2966666666666667,0.25498730124449975,20,0.1,0.0,1000.0,ok
TONIoT,21,transformer,noCL,9,0.5464,-0.2943,0.6952,0.3238,0.131,0.07279233540854227,0.049142063322322814,0.13843649204335265,0.11422295442064799,0.10096701978970557,0.131,0.07917224229246726,0.0,0.131,0.07928855727741535,0.0,0.131,0.07393603292522789,0.131,0.07305016170208407,20,0.1,0.0,1000.0,ok
CICIoT,21,transformer,noCL,8,0.4040,-0.5539,0.3990,0.5453,0.11466666666666667,0.11035403787499204,0.05640358719110753,0.17587104803678125,0.03686789930942303,0.05070755620907899,0.09233333333333334,0.08838125231804538,24.418604651162788,0.09166666666666666,0.0808176783045964,25.872093023255815,0.09133333333333334,0.08146862638872636,0.092,0.08396063684612065,20,0.1,0.0,1000.0,ok
CICIoMT,42,transformer,noCL,5,0.3697,-0.7861,0.2124,0.6298,0.3333333333333333,0.2673453416154878,0.17321960773207293,0.3333333333333333,0.11391147244805781,0.09349742334345897,0.331,0.25961971642347204,0.7000000000000001,0.331,0.25890825360252945,0.7000000000000001,0.329,0.25526022125392034,0.33,0.2576622201150798,20,0.1,0.0,1000.0,ok
