contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
transformer_cl/cat - transformer/noCL,average accuracy,CICIoMT,5,0.56688,0.5343200000000001,0.5917399999999999,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,average accuracy,CICIoT,5,0.2082,0.1475,0.2517,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,average accuracy,TONIoT,5,0.35916,0.35738,0.36094,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,average accuracy,STRATIFIED,15,0.37807999999999997,,,9.99950002499875e-05,True,primary,9.99950002499875e-05
transformer_cl/cat - transformer/noCL,clean MCC,CICIoMT,5,0.7719499234750271,0.7281656416090753,0.8108719452088516,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,clean MCC,CICIoT,5,0.43317652679364704,0.3067273725070617,0.5315018237297938,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,clean MCC,TONIoT,5,0.8020818396308899,0.7960307385520018,0.8081329407097779,0.0625,True,primary,0.0625
transformer_cl/cat - transformer/noCL,clean MCC,STRATIFIED,15,0.6690694299665214,,,4.999750012499375e-05,True,primary,4.999750012499375e-05
transformer_cl/cat - transformer/noCL,robust MCC,CICIoMT,5,0.4033573409126044,0.3766786363542245,0.44486498067266717,0.0625,True,secondary,
transformer_cl/cat - transformer/noCL,robust MCC,CICIoT,5,0.361921419926709,0.2733318916154679,0.4279716503962989,0.0625,True,secondary,
transformer_cl/cat - transformer/noCL,robust MCC,TONIoT,5,0.6321475670005784,0.6099364583852007,0.6506073107956103,0.0625,True,secondary,
transformer_cl/cat - transformer/noCL,robust MCC,STRATIFIED,15,0.46580877594663067,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
aam_trans/cat - transformer_cl/cat,average accuracy,CICIoMT,5,0.026159999999999982,-0.003080000000000016,0.060820000000000006,0.1875,False,secondary,
aam_trans/cat - transformer_cl/cat,average accuracy,TONIoT,5,-0.014320000000000022,-0.03452000000000004,-0.0005200000000000315,0.1875,False,secondary,
aam_trans/cat - transformer_cl/cat,average accuracy,STRATIFIED,10,0.00591999999999998,,,0.6543172841357933,False,secondary,1.0
aam_trans/cat - transformer_cl/cat,clean MCC,CICIoMT,5,0.035369423790427554,-0.0033018811027092586,0.07806083962678809,0.3125,False,secondary,
aam_trans/cat - transformer_cl/cat,clean MCC,TONIoT,5,-0.018166436804825502,-0.051554837046247616,0.007421455444099579,0.625,False,secondary,
aam_trans/cat - transformer_cl/cat,clean MCC,STRATIFIED,10,0.008601493492801026,,,0.6288685565721714,False,secondary,1.0
aam_trans/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.46696,-0.4897,-0.43431999999999993,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.22083999999999998,-0.26359999999999995,-0.16154000000000002,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.35856000000000005,-0.36100000000000004,-0.3561000000000001,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34878666666666663,,,4.999750012499375e-05,True,secondary,0.002049897505124744
aam_trans/ewckd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.49673173917057234,-0.5344334509017626,-0.45760860158538186,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.3628985617034877,-0.4616755239614291,-0.2334322738044427,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6812799861051954,-0.6862706119720186,-0.6771448877478587,0.0625,True,secondary,
aam_trans/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5136367623264184,,,0.000199990000499975,True,secondary,0.004199790010499475
aam_trans_no_gates/cat - transformer_cl/cat,average accuracy,CICIoMT,5,0.01916,-0.009540000000000015,0.05497999999999996,0.625,False,secondary,
aam_trans_no_gates/cat - transformer_cl/cat,average accuracy,TONIoT,5,-0.0062799999999999965,-0.012439999999999984,-0.0004199999999999982,0.1875,False,secondary,
aam_trans_no_gates/cat - transformer_cl/cat,average accuracy,STRATIFIED,10,0.006440000000000001,,,0.6808159592020399,False,secondary,1.0
aam_trans_no_gates/cat - transformer_cl/cat,clean MCC,CICIoMT,5,0.02907346021921864,-0.012499855452087538,0.0772369088257113,0.3125,False,secondary,
aam_trans_no_gates/cat - transformer_cl/cat,clean MCC,TONIoT,5,-0.006055294764245845,-0.017686319648698913,0.005575730120207223,0.4375,False,secondary,
aam_trans_no_gates/cat - transformer_cl/cat,clean MCC,STRATIFIED,10,0.011509082727486398,,,0.5430228488575571,False,secondary,1.0
aam_trans_no_gates/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.46699999999999997,-0.48958,-0.43448000000000003,0.0625,True,secondary,
aam_trans_no_gates/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.21959999999999996,-0.26409999999999995,-0.15497999999999998,0.0625,True,secondary,
aam_trans_no_gates/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.36082000000000003,-0.36388000000000004,-0.35838000000000003,0.0625,True,secondary,
aam_trans_no_gates/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34913999999999995,,,0.00014999250037498125,True,secondary,0.0034498275086245686
